Author,Anand Sanwal
Title,"What's the most unsexy, ""boring"" business you've ever seen that makes a crap ton of money?  (riches in niches)"
Date,"7:15 AM · Jul 3, 2020·Twitter Web App"
Comment,261  Retweets and comments 1.4K  Likes
Conversations,
,Eric Clark @thebrandindex · Jul 4,"Replying to @asanwal
$SHW since Jan 1990
5",https://pbs.twimg.com/media/EcCM74-UEAAA9Bv?format=jpg&name=small
,Steve Mushero @stevemushero · Jul 4,"Replying to @asanwal
 and @awilkinson
Interesting list - having been in & around a fair number of the mentioned businesses, I'm can assure you they don't make a lot of money & are usually highly competitive, plus people confusing revenue with profit/making money. Making money needs some type of scarcity / oligopoly.
5",
,PJ Kershaw @pjkershawnz · Jul 3,"Replying to @asanwal
BillDesk in India
1
2",
,PJ Kershaw @pjkershawnz · Jul 3,"Or any well sited laundromat. They are money printers.
2",
,ly @chairmanmauro · Jul 3,"Replying to @asanwal
Craigslist
1
7",
,Hamada Kaido @pendolino · Jul 4,True very,
,George Bartlett @gbartletr · Jul 4,"Replying to @asanwal
Elevator servicing contracts businesses.
1
3",
,Jannat Shah Rajan @jannatshah · Jul 4,"@_WeMaintain
 1",https://abs-0.twimg.com/emoji/v2/svg/2764.svg
,Marcelo Calbucci @calbucci · Jul 4,"Replying to @asanwal
Avalara
1
2",
,Benjamin Cox @BenjaminGCox · Jul 4,"They have a cool story.  Founder bet big on the online tax legislation.  Seems obvious now.
2",
,Pavel Osadchuk @xakpc · Jul 3,"Replying to @asanwal
building and maintaining roads
1
2",
,Pavel Osadchuk @xakpc · Jul 3,"here is a typical road ""pie""
1
1",https://pbs.twimg.com/media/Eb9SO9jWsAE-PoP?format=jpg&name=small
,Kevin Wei @TheKevinWay · Jul 3,"Replying to @asanwal
idk if this counts but i have a friend who started out mowing lawns. he ended up scaling out to mowing entire neighborhoods. he raised prices and still kept getting new customers. eventually hired a team of kids to do the work for him while he raked in 6 figs
2
3",
,"Golf Caddy 4 Life, Von Neumann Probe Designer @Caddy4P · Jul 4","I heard the CIA pays law mowers bank and moved to robots to save $$$$
1",
,Sandeep Todi - REMITR @sandeeptodi · Jul 3,"Replying to @asanwal
Toll road operator
Industrial scrap recycling
Niche haulage businesses
High seas piracy

In that order
1
2",
,B.A.T. @BATMongoose · Jul 4,"High seas piracy = high risk, no recurring revenue?
1
1",
,Anand Thaker @AnandThaker · Jul 3,"Replying to @asanwal
Storage.
3",
,ria @realriapacheco · Jul 3,"Replying to @asanwal
Hidden champion: Tetra aquarium supplies
3",
,Taylor Milliman @TayTayTrey · Jul 3,"Replying to @asanwal @servicenow
3",
,Nitin Sharma @nitinsharma1 · Jul 3,"Replying to @asanwal
Travel GDS software. Sit and collect fees with every booking.
3",
,Mike | I Distill @DistillMike · Jul 3,"Replying to @asanwal
Turning chicken dung into fetilizer.
3",
,Jeff Ericson @jeffericson · Jul 3,"Replying to @asanwal
Look for any business doing finance for low-income. Car loans for example. Desperate customer base & no regs.
1
3",
,Ryan Goral @RyanGoral · Jul 3,"Replying to @asanwal
Emergency sewer repair business.
3",
